Date,AwayTeam,HomeTeam
2025-05-02,Auburn,Tennessee
2025-05-02,LSU,Texas A&M
2025-05-02,Alabama,Vanderbilt
2025-05-02,Clemson,Florida St
2025-05-02,Oregon,Michigan St
2025-05-02,Georgia,Missouri
2025-05-02,Texas,Arkansas
2025-05-02,UCF,Oklahoma St
2025-05-02,Minnesota,Nebraska
2025-05-02,NC State,Miami FL
2025-05-02,Florida Intl,Dallas Bap
2025-05-02,Troy,South Alabama
2025-05-02,UC Santa Barbara,CS Fullerton
2025-05-02,TCU,Arizona
2025-05-02,Creighton,Butler
2025-05-02,Alabama St,Bethune-Cookman
2025-05-02,CS Sacramento,Grand Canyon
2025-05-02,Cincinnati,Kansas
2025-05-02,Appalachian St,Coastal Car
2025-05-02,Col Charleston,William & Mary
2025-05-02,Connecticut,Villanova
2025-05-02,Indiana,Abilene Chr
2025-05-02,Stonehill,Coppin St
2025-05-02,Seattle,Utah Tech
2025-05-02,N Illinois,E Michigan
2025-05-02,Fairfield,Marist
2025-05-02,Florida,South Carolina
2025-05-02,North Florida,FGCU
2025-05-02,St Joseph's PA,George Mason
2025-05-02,James Madison,Ga Southern
2025-05-02,Arizona St,Baylor
2025-05-02,High Point,Presbyterian
2025-05-02,Ark Little Rock,E Illinois
2025-05-02,Arkansas St,Southern Miss
2025-05-02,TAM C. Christi,Houston Chr
2025-05-02,Illinois,Rutgers
2025-05-02,Ark Pine Bluff,Grambling
2025-05-02,Jacksonville,Queens NC
2025-05-02,Jacksonville St,MTSU
2025-05-02,Morehead St,Lindenwood
2025-05-02,ULM,Texas St
2025-05-02,Louisiana Tech,WKU
2025-05-02,St Peter's,Manhattan
2025-05-02,Maryland,Penn St
2025-05-02,F Dickinson,MD E Shore
2025-05-02,SF Austin,McNeese St
2025-05-02,Mercer,Wofford
2025-05-02,Mercyhurst,Norfolk St
2025-05-02,Missouri St,Illinois St
2025-05-02,Kent,Ball St
2025-05-02,Nicholls St,New Orleans
2025-05-02,Lipscomb,North Alabama
2025-05-02,Oral Roberts,N Dakota St
2025-05-02,Delaware,Northeastern
2025-05-02,Belmont,Evansville
2025-05-02,Virginia Tech,Pittsburgh
2025-05-02,Iona,Sacred Heart
2025-05-02,Liberty,Sam Houston St
2025-05-02,Miami OH,Samford
2025-05-02,Lamar,SE Louisiana
2025-05-02,West Georgia,Stetson
2025-05-02,Tarleton St,Cal Baptist
2025-05-02,Stanford,Boston College
2025-05-02,UTRGV,Incarnate Word
2025-05-02,Bowling Green,Toledo
2025-05-02,UC San Diego,UC Irvine
2025-05-02,Charlotte,Rice
2025-05-02,Citadel,UNC Greensboro
2025-05-02,Monmouth NJ,UNC Wilmington
2025-05-02,UCLA,USC
2025-05-02,Utah,Houston
2025-05-02,Utah Valley,UT Arlington
2025-05-02,VCU,St Bonaventure
2025-05-02,Iowa,Washington
2025-05-02,Air Force,Washington St
2025-05-02,Texas Tech,West Virginia
2025-05-02,W Illinois,SIUE
2025-05-02,East Carolina,Wichita St
2025-05-02,Wright St,Youngstown St
2025-05-02,Maine,Bryant
2025-05-02,Cal Poly,CS Bakersfield
2025-05-02,Campbell,NC A&T
2025-05-02,Canisius,Siena
2025-05-02,ETSU,VMI
2025-05-02,Elon,Hofstra
2025-05-02,Tulane,FL Atlantic
2025-05-02,Rhode Island,Fordham
2025-05-02,St John's,Georgetown
2025-05-02,Louisiana,Georgia St
2025-05-02,Gonzaga,Loy Marymount
2025-05-02,IL Chicago,Valparaiso
2025-05-02,Indiana St,Bradley
2025-05-02,New Mexico St,Kennesaw
2025-05-02,LIU Brooklyn,Le Moyne
2025-05-02,Longwood,SC Upstate
2025-05-02,NJIT,UMBC
2025-05-02,Fresno St,Nevada
2025-05-02,Merrimack,Niagara
2025-05-02,N Colorado,S Dakota St
2025-05-02,Northwestern LA,Pepperdine
2025-05-02,Ohio,Akron
2025-05-02,St Mary's CA,Pacific
2025-05-02,Santa Clara,Portland
2025-05-02,Massachusetts,St Louis
2025-05-02,UT San Antonio,South Florida
2025-05-02,Southern Indiana,TN Martin
2025-05-02,Tennessee Tech,SE Missouri St
2025-05-02,Stony Brook,Towson
2025-05-02,Central Conn,Wagner
2025-05-02,W Carolina,Georgia Tech
2025-05-02,N Kentucky,WI Milwaukee
2025-05-02,Alabama A&M,Florida A&M
2025-05-02,UAB,Memphis
2025-05-02,Alcorn St,Prairie View
2025-05-02,Kansas St,BYU
2025-05-02,UC Davis,Long Beach St
2025-05-02,G Washington,Davidson
2025-05-02,MS Valley St,Jackson St
2025-05-02,Kentucky,Mississippi St
2025-05-02,Louisville,Notre Dame
2025-05-02,Michigan,Ohio St
2025-05-02,New Mexico,San Diego St
2025-05-02,Penn,Brown
2025-05-02,UC Riverside,CS Northridge
2025-05-02,UNLV,San Jose St
2025-05-02,Northwestern,Purdue
2025-05-02,C Michigan,W Michigan
2025-05-02,Richmond,Dayton
2025-05-02,Marshall,Old Dominion
2025-05-02,Quinnipiac,Mt St Mary's
2025-05-02,NE Omaha,St Thomas MN
2025-05-02,SUNY Albany,MA Lowell
2025-05-02,Cent Arkansas,E Kentucky
2025-05-02,San Francisco,San Diego
2025-05-02,Southern Univ,TX Southern
2025-05-02,Seton Hall,Xavier
2025-05-02,Bellarmine,Austin Peay
2025-05-02,PFW,Oakland
2025-05-02,Mississippi,Oklahoma
2025-05-02,S Illinois,Murray St
2025-05-03,Auburn,Tennessee
2025-05-03,LSU,Texas A&M
2025-05-03,Alabama,Vanderbilt
2025-05-03,Oregon St,Hawaii
2025-05-03,Clemson,Florida St
2025-05-03,Texas,Arkansas
2025-05-03,Troy,South Alabama
2025-05-03,Minnesota,Nebraska
2025-05-03,Oregon,Michigan St
2025-05-03,Florida Intl,Dallas Bap
2025-05-03,Georgia,Missouri
2025-05-03,Gardner Webb,Wake Forest
2025-05-03,NC State,Miami FL
2025-05-03,UCF,Oklahoma St
2025-05-03,UC Santa Barbara,CS Fullerton
2025-05-03,TCU,Arizona
2025-05-03,Creighton,Butler
2025-05-03,Alabama St,Bethune-Cookman
2025-05-03,CS Sacramento,Grand Canyon
2025-05-03,Cincinnati,Kansas
2025-05-03,Appalachian St,Coastal Car
2025-05-03,Col Charleston,William & Mary
2025-05-03,Connecticut,Villanova
2025-05-03,Indiana,Abilene Chr
2025-05-03,Stonehill,Coppin St
2025-05-03,Seattle,Utah Tech
2025-05-03,N Illinois,E Michigan
2025-05-03,Fairfield,Marist
2025-05-03,Florida,South Carolina
2025-05-03,North Florida,FGCU
2025-05-03,St Joseph's PA,George Mason
2025-05-03,James Madison,Ga Southern
2025-05-03,Arizona St,Baylor
2025-05-03,High Point,Presbyterian
2025-05-03,Ark Little Rock,E Illinois
2025-05-03,Lehigh,Holy Cross
2025-05-03,Arkansas St,Southern Miss
2025-05-03,TAM C. Christi,Houston Chr
2025-05-03,Illinois,Rutgers
2025-05-03,Ark Pine Bluff,Grambling
2025-05-03,MS Valley St,Jackson St
2025-05-03,Jacksonville,Queens NC
2025-05-03,Jacksonville St,MTSU
2025-05-03,Morehead St,Lindenwood
2025-05-03,ULM,Texas St
2025-05-03,Louisiana Tech,WKU
2025-05-03,St Peter's,Manhattan
2025-05-03,Maryland,Penn St
2025-05-03,F Dickinson,MD E Shore
2025-05-03,SF Austin,McNeese St
2025-05-03,Mercer,Wofford
2025-05-03,Mercyhurst,Norfolk St
2025-05-03,Missouri St,Illinois St
2025-05-03,Kent,Ball St
2025-05-03,Binghamton,Navy
2025-05-03,Nicholls St,New Orleans
2025-05-03,Lipscomb,North Alabama
2025-05-03,Oral Roberts,N Dakota St
2025-05-03,Delaware,Northeastern
2025-05-03,Belmont,Evansville
2025-05-03,Virginia Tech,Pittsburgh
2025-05-03,Alcorn St,Prairie View
2025-05-03,Liberty,Sam Houston St
2025-05-03,Miami OH,Samford
2025-05-03,Lamar,SE Louisiana
2025-05-03,West Georgia,Stetson
2025-05-03,Tarleton St,Cal Baptist
