HomeTeam,AwayTeam,HomeConference,AwayConference,HomeConfPower,AwayConfPower,HomeActualScore,AwayActualScore,HomeMostLikely,AwayMostLikely,HomeMean,AwayMean,HomeWinProbability,AwayWinProbability,HomeWins,HomeLoses,AwayWins,AwayLoses,Date
Georgia,Quinnipiac,SEC,MAAC,0.857,0.321,9,1,11,4,11.74,4.58,86,14,13,1,4,6,20250214
Michigan,Virginia,B10,ACC,0.604,0.772,5,4,5,7,5.49,7.66,35,65,6,4,7,3,20250214
Xavier,Oregon St,BE,I Ind,0.4,0.75,3,8,3,6,4.03,7.69,23,77,7,5,7,3,20250214
Mississippi St,Manhattan,SEC,MAAC,0.857,0.321,17,3,10,2,10.47,2.42,96,5,7,4,4,7,20250214
NC State,Fordham,ACC,A10,0.772,0.488,11,1,8,2,9.68,3.07,92,8,6,5,2,9,20250214
Nebraska,UC Irvine,B10,BWC,0.604,0.556,5,10,5,7,5.74,7.80,35,65,4,6,8,3,20250214
Mississippi,Arizona,SEC,B12,0.857,0.703,2,1,4,5,5.73,6.12,47,53,10,1,7,4,20250214
Arkansas,Washington St,SEC,MWC,0.857,0.449,3,2,8,4,8.56,4.38,81,19,10,1,3,9,20250214
Dallas Bap,N Dakota St,CUSA,SL,0.619,0.338,11,6,8,4,9.21,4.39,83,17,8,3,1,9,20250214
Troy,Bellarmine,SBC,ASUN,0.557,0.374,23,6,9,4,11.46,5.37,83,17,11,1,1,9,20250214
Oregon,Toledo,B10,MAC,0.604,0.376,9,2,8,3,8.24,3.16,88,12,10,2,4,6,20250214
Texas A&M,Elon,SEC,CAA,0.857,0.395,4,2,8,3,9.00,3.81,86,14,6,4,5,6,20250214
UC Santa Barbara,Campbell,BWC,CAA,0.556,0.395,6,1,6,5,6.84,5.37,64,36,9,2,4,7,20250214
Louisville,Texas,ACC,SEC,0.772,0.857,4,3,5,6,5.96,6.39,47,53,8,2,9,1,20250214
Grand Canyon,Vanderbilt,WAC,SEC,0.473,0.857,3,4,4,6,4.73,6.52,38,62,7,4,9,3,20250214
